Nombre,Sinopsis,Año,Duración,Género,Apto,Sonido
Lo que pasó recién,Un desesperado productor de películas intenta revivir su carrera moribunda y mantener su dignidad mientras lucha por lograr realizar su película durante un lapso de dos semanas.,2008,103 MIN,"COMEDIA, DRAMA",SAM16,ESTÉREO
Power Rangers,Saban’s Power Rangers cuenta la historia de cinco adolescentes de lo más ordinario que deben convertirse en algo extraordinario al enterarse que su pueblito de Angel Grove – y el mundo – están a punto de ser aniquilados por una amenaza extraterrestre.,2017,123 MIN,"ACCIÓN, DE AVENTURAS",SAM13,SONIDO ENVOLVENTE 5.1
La La Land: Una historia de amor,"Emma Stone y Ryan Gosling la protagonizan como Mia y Sebastian, una actriz y un músico de jazz que buscan alcanzar sus sueños en Hollywood y se encuentran uno al otro en una animada celebración de esperanza, sueños y amor.",2016,127 MIN,"COMEDIA, DRAMA",SAM13,SONIDO ENVOLVENTE 5.1
¡Competencia en la cocina!,Una madre soltera que sueña con una vida mejor y ama cocinar encuentra el camino al éxito cuando su hijo la insribe en una competencia de gastronomía.,2017,98 MIN,"COMEDIA, ROMÁNTICA",ATP,SONIDO ENVOLVENTE 5.1
El castillo de cristal,"Aventuras extravagantes de una familia resiliente y unida encabezan El castillo de cristal, una extraordinaria historia de amor incondicional.",2017,126 MIN,DRAMA,SAM13,SONIDO ENVOLVENTE 5.1
Una Navidad a la moda real,"Kristin Cooper, la guapa y talentosa asistente de una firma global de relaciones públicas, es puesta a cargo del Desfile de Moda y Subasta Navideña anual para el empresario de ropa, Sr. Carson.",2018,86 MIN,"NAVIDEÑA, COMEDIA",ATP,SONIDO ENVOLVENTE 5.1
UNA BODA PARA NAVIDAD,Haley Foster escapó de su infancia en un pequeño pueblo en Pineridge y construyó una gran vida en la ciudad de Los Ángeles como una de las mejores planificadoras de bodas en una poderosa compañía de elite dirigida por la Sra. Reynolds.,2018,88 MIN,"NAVIDEÑA, COMEDIA ROMÁNTICA",ATP,SONIDO ENVOLVENTE 5.1
Best F(r)iends: Volume Two,"Un vagabundo se hace amigo de un extravagante director de funeraria, y pronto, forman una sociedad, aunque una que poco tiene de comercial. La locura no tarda en surgir, pero estos hombres se verán forzados a sobrellevar las cosas a través de la amistad y la lealtad.",2018,93 MIN,COMEDIA,SAM16,SONIDO ENVOLVENTE 5.1
Asesino: Misión venganza,"Stan Hurley, un veterano de la Guerra Fría, recluta y entrena a Mitch Rapp, cuya novia murió en un ataque terrorista. Con la colaboración de una letal agente turca, los tres deberán detener a un grupo terrorista antes de que inicien una guerra",2017,111 MIN,ACCIÓN,SAM16,SONIDO ENVOLVENTE 5.1
Best F(r)iends: Volume 1,"El dúo dinámico detrás de THE ROOM y THE DISASTER ARTIST (Tommy Wiseau y Greg Sestero) vuelven a encontrarse después de 15 años en este nuevo clásico de culto. Cuando un vagabundo (Sestero) se hace amigo del extravagante encargado de una funeraria (Wiseau), se forma una rara sociedad comercial. Esto pronto da lugar a la paranoia, y ambos deberán aceptar la fragilidad de la amistad y la lealtad.",2018,103 MIN,COMEDIA,SAM16,SONIDO ENVOLVENTE 5.1
El legado,"Un exconvicto recientemente liberado y su hermano menor, adoptivo, se ven obligados a huir. Al ser perseguidos por un criminal vengativo, los federales y un grupo de soldados de otro mundo, encontraron su única protección: un arma de ascendenciamisteriosa.",2018,102 MIN,"ACCIÓN, CIENCIA FICCIÓN",SAM13,SONIDO ENVOLVENTE 5.1
Navidad empaquetada,"Candace Cameron Bure protagoniza Navidad empaquetada, como la doctora Lauren Burnell que acepta una posición en Alaska después de perder a su novio y prestigioso compañero de cirugía, sólo para luego darse cuenta que es en un diminuto hospital en un pueblito.",2014,86 MIN,"NAVIDEÑA, DRAMA",ATP,ESTÉREO
Make your move,"Make your move trata de una joven bailarina coreana, Aya (BoA), que vive en Nueva York y dirige su grupo de baile femenino Cobu. Aya se enamora de Donny (Derek Hough), un valiente y atrevido bailarín que se muda de Nueva Orleans a Nueva York para ayudar a su hermanastro, Nick (Wesley Jonathan), a dirigir uno de los clubes de baile más populares de la ciudad.",2014,109 MIN,"DRAMA, MUSICAL",SAM13,ESTÉREO
El árbol de Navidad,"Cuando la chica de la gran ciudad (Lacey Chabert) regresa para salvar la el vivero de árboles de su infancia, tal vez puede redescubrir más de lo que quería, incluyendo a su amor verdadero.",2014,87 MIN,"NAVIDEÑA, DRAMA",ATP,ESTÉREO
Ranchero,"Este crudo drama estelarizado por Danny Trejo (MACHETE) sigue la vida de dos fracasados hombres de mediana edad y su batalla con las drogas, las pandillas y los sueños rotos en un miserable barrio de Los Ángeles.",2011,94 MIN,DRAMA,SAM16,ESTÉREO
"Posdata, te amo",Una viuda (Hilary Swank) apenada encuentra una serie de mensajes que le dejó su marido fallecido para ayudarle a disminuir su dolor y alentarla a iniciar una nueva vida por sí misma.,2007,125 MIN,"COMEDIA, DRAMA",SAM13,SONIDO ENVOLVENTE 5.1
